P + 316 -2111774424 
F ntoskrnl.exe CcCanIWrite 0001f6ca 
F ntoskrnl.exe CcCopyRead 0009c133 
F ntoskrnl.exe CcCopyWrite 0001f77a 
F ntoskrnl.exe CcDeferWrite 00053cee 
F ntoskrnl.exe CcFastCopyRead 000a3aab 
F ntoskrnl.exe CcFastCopyWrite 00027807 
F ntoskrnl.exe CcFastMdlReadWait 0007fc3c 
F ntoskrnl.exe CcFastReadNotPossible 0007fc44 
F ntoskrnl.exe CcFastReadWait 0007fc4c 
F ntoskrnl.exe CcFlushCache 00016913 
F ntoskrnl.exe CcGetDirtyPages 00019613 
F ntoskrnl.exe CcGetFileObjectFromBcb 000542d3 
F ntoskrnl.exe CcGetFileObjectFromSectionPtrs 0005429b 
F ntoskrnl.exe CcGetFlushedValidData 0001a317 
F ntoskrnl.exe CcGetLsnForFileObject 0005411c 
F ntoskrnl.exe CcInitializeCacheMap 0001dd4e 
F ntoskrnl.exe CcIsThereDirtyData 0005407f 
F ntoskrnl.exe CcMapData 0009462c 
F ntoskrnl.exe CcMdlRead 00139403 
F ntoskrnl.exe CcMdlReadComplete 001396b6 
F ntoskrnl.exe CcMdlWriteAbort 00054446 
F ntoskrnl.exe CcMdlWriteComplete 001396fb 
F ntoskrnl.exe CcPinMappedData 000a351a 
F ntoskrnl.exe CcPinRead 000a36fa 
F ntoskrnl.exe CcPrepareMdlWrite 000544f3 
F ntoskrnl.exe CcPreparePinWrite 000930c7 
F ntoskrnl.exe CcPurgeCacheSection 00020181 
F ntoskrnl.exe CcRemapBcb 00012121 
F ntoskrnl.exe CcRepinBcb 00053de1 
F ntoskrnl.exe CcScheduleReadAhead 0002ed82 
F ntoskrnl.exe CcSetAdditionalCacheAttributes 00030511 
F ntoskrnl.exe CcSetBcbOwnerPointer 0009318f 
F ntoskrnl.exe CcSetDirtyPageThreshold 0005425f 
F ntoskrnl.exe CcSetDirtyPinnedData 00019f79 
F ntoskrnl.exe CcSetFileSizes 0001a203 
F ntoskrnl.exe CcSetLogHandleForFile 0009faba 
F ntoskrnl.exe CcSetReadAheadGranularity 0001e092 
F ntoskrnl.exe CcUninitializeCacheMap 0001e1fe 
F ntoskrnl.exe CcUnpinData 000946d4 
F ntoskrnl.exe CcUnpinDataForThread 000931d2 
F ntoskrnl.exe CcUnpinRepinnedBcb 00053f8c 
F ntoskrnl.exe CcWaitForCurrentLazyWriterActivity 0005481b 
F ntoskrnl.exe CcZeroData 00106ba0 
F ntoskrnl.exe CmRegisterCallback 00139757 
